0,1,2,3,4,5,6,7,8,9,10,11,12
0.891126931,0.016097445,0.004415201,0.005692694,0.013687323,0.00360275,0.032772496,0.003870535,1.38E-06,0.006751048,0.002273252,0.001570668,0.018138304
0.322347373,0.054307759,0.140210956,0.114151299,0.035727579,0.031521618,0.162600115,0.022584552,0.008399385,0.007826836,0.026939692,0.019013993,0.054368906
0.071772665,0.176541373,0.108195812,0.415832937,0.039319504,0.07627973,0.02613188,0.023130147,0.004529483,0.016381346,0.030295523,0.005739567,0.005849985
0.244025588,0.182658821,0.236371025,0.034145955,0.071042895,0.124289475,0.050429277,0.019680863,0.001401091,0.013019017,0.01064335,0.003617056,0.008675684
0.329070896,0.053295519,0.13527298,0.071579702,0.041535903,0.017438876,0.289125919,0.016794814,0.003438345,0.005228514,0.008503421,0.007325807,0.021389335
0.034571625,0.01546226,0.086065568,0.535921454,0.066164136,0.011985927,0.074351832,0.114787966,0.005872069,0.005274985,0.021582603,0.020476954,0.007482626
0.583244562,0.053703919,0.044448823,0.028732028,0.06725359,0.026937004,0.124504879,0.016813004,0.000591194,0.021790922,0.010847938,0.005928769,0.015203319
0.618936062,0.003454899,0.015694821,0.022403108,0.018347912,0.004088481,0.185877606,0.016648781,0.006812145,0.010887084,0.017654864,0.007338294,0.071856029
0.448809952,0.011774138,0.004122555,0.007754855,0.014535733,0.0249258,0.087443218,0.073120095,0.001056853,0.078862511,0.060104106,0.039141543,0.148348689
0.181509301,0.005003963,0.0079014,0.00936187,0.006093763,0.020376887,0.104343385,0.113237828,0.039287258,0.037117936,0.148648337,0.080246925,0.246871158
0.217609987,0.005678607,0.01608377,0.016154973,0.003852512,0.006622859,0.05664663,0.092918165,0.030011065,0.071805306,0.147477791,0.098378435,0.236759931
0.208044797,0.010437653,0.007189464,0.00403927,0.010344927,0.055716526,0.033721052,0.150430486,0.019008538,0.071302898,0.107927948,0.012011047,0.309825361
0.523563623,0.008914002,0.005259469,0.003507656,0.003499123,0.00328216,0.02170858,0.012165802,0.001242174,0.056123137,0.029563723,0.050689433,0.2804811
